Environment	environment	
Pesticide Action Network North America	www.panna.org	 Works to eliminate poisonous pesticides. Links consumer, labor, health, environment and agriculture groups internationally to advance safer, ecologically sound pest control alternatives. 
Protect the Adirondacks!	www.protectadks.org	 Programs in wildlands planning, land stewardship, community conservation and library services inform the public and ensure the protection of the Adirondack and Catskills Parks 
Rails-to-Trails Conservancy	www.railstotrails.org	 Converts thousands of miles of unused railroad corridors into public trails for walking, bicycling, hiking, skating, horseback riding, cross-country skiing, wildlife habitats and nature appreciation. 
Rainforest Alliance	www.rainforest-alliance.org	 Works to conserve biodiversity and ensure sustainable livelihoods by transforming land-use practices, business practices and consumer behavior. 
Riverkeeper	www.riverkeeper.org	 Member supported watchdog organization defending the Hudson River and its tributaries, and protecting the drinking water supply of 9,000,000 NYC and Hudson Valley residents. 
Rocky Mountain Institute	www.rmi.org	 We drive the efficient and restorative use of resources to create a world thriving, verdant, and secure, for all, forever. 
Scenic America	www.scenic.org	 Safeguards America's natural beauty and community character by fighting billboard blight, reducing visual intrusions, protecting open space, and preserving the scenic character of public lands. 
Surfrider Foundation	www.surfrider.org	 Protects and preserves the world's oceans, waves and beaches through conservation, activism, research and education. Activities include: water quality monitoring, environmental education and grassroots activism. 
The Conservation Fund	www.conservationfund.org	 The nation's most effective and efficient conservation organization - protecting working landscapes, wildlife habitat, historic and recreation sites - with 97% of funds going directly to mission. 
 The Jane Goodall Institute for Wildlife Research, Education, and Conservation 	www.janegoodall.org	 The Jane Goodall Institute works to create healthy ecosystems, promote sustainable livelihoods and nurture new generations of committed, active citizens around the world. 
 The Nature Conservancy, New York 	www.nature.org/newyork	 Protects land and water to help save rare plants and animals. Over 117 million acres protected: rainforests, wetlands, mountains and beaches - worldwide. 
The Peregrine Fund	www.peregrinefund.org	 Saves eagles, condors, falcons, and other endangered birds through research, breeding, and conservation programs. Helps preserve rainforests. Educates children and adults about nature and science. 
The Sierra Club Foundation	www.tscf.org	 Fights to preserve wilderness and protect environmental quality worldwide through a powerful combination of education, scientific research, publishing and litigation. 
The Student Conservation Association	www.theSCA.org	 Building new generations of conservation leaders by engaging college and high school-age individuals in hands-on service to parks, forests and urban greenspaces nationwide. 
 The Trust for Public Land, New York City Office 	www.tpl.org	 Conserves land to guide growth, protect air and water, and ensure a high quality of life in communities nationwide. 
The Wilderness Society	www.wilderness.org	Works to protect special wild places from development so that future generations will have the opportunity to enjoy America's natural heritage.
 Trout Unlimited, NYS Council 	www.nysctu.org	Our members volunteer their time and energy to protect and restore New York's coldwater fisheries for recreation of all types and protection for future generations.
Union of Concerned Scientists	www.ucsusa.org	 Scientists and citizens working on solutions to reduce air pollution and global warming, protect biodiversity, prevent nuclear proliferation, and ensure a sustainable, safe food system. 
WE ACT (West Harlem Environmental Action)	www.weact.org	 Building healthy communities by assuring people of color and low-income, participate meaningfully in creation of sound and fair environmental health and protection policies and practices. 
Westchester Land Trust	www.westchesterlandtrust.org	Conserves land in partnership with private property owners; helps communities create new parks and preserves; fosters sound land use practices.
Wildlife Conservation Society	www.wcs.org	Saves endangered species and threatened ecosystems in 60 countries; teaches ecology and inspires care for wildlife through the Bronx Zoo and national science education programs.
World Wildlife Fund	www.worldwildlife.org	 Multinational conservation organization working worldwide to combat climate change, save endangered animals, protect wild habitats, and transform market forces to act in harmony with nature. 
		
