Health	health	
 American Liver Foundation, New York, Greater NY Division 	www.liverfoundation.org/greaterny	 Our mission is to facilitate, advocate and promote education, support and research for the prevention, treatment and cure of liver disease. 
 American Lung Association of New York, Finger Lakes Region 	www.alanys.org	 We are the leading organization in New York working to save lives by improving lung health and preventing lung disease, through research, education and advocacy. 
 American Lung Association of New York, Hudson Valley Office 	www.alahv.org	 We are the leading organization in New York working to save lives by improving lung health and preventing lung disease, through research, education and advocacy. 
 American Lung Association of New York, Nassau - Suffolk 	www.alanys.org	 We are the leading organization in New York working to save lives by improving lung health and preventing lung disease, through research, education and advocacy. 
 American Lung Association of New York, NENY Office 	www.alaneny.org	 We are the leading organization in New York working to save lives by improving lung health and preventing lung disease, through research, education and advocacy. 
 American Lung Association of New York, Westchester Chapter 	www.alahv.org	 We are the leading organization in New York working to save lives by improving lung health and preventing lung disease, through research, education and advocacy. 
American Near East Refugee Aid (ANERA)	www.anera.org	 ANERA creates opportunities in education, health and relief services, and job creation programs for people in the West Bank, Gaza, Lebanon and Jordan 
 American Parkinson Disease Association, New York 	www.apdaparkinson.org	 Dedicated to funding Parkinson's research, providing comprehensive medical information, extensive public/professional education and support services.  
American Red Cross in Greater New York	http://www.nyredcross.org/	 The American Red Cross in Greater New York is a nonprofit humanitarian organization, led by volunteers, that provides relief to individuals affected by disasters, and helps people prevent, prepare for, and respond to emergencies. It accomplishes this mission through services that are consistent with its Congressional Charter and the Fundamental Principles of the International Red Cross movement. 
American Refugee Committee	www.arcrelief.org	A movement of people working in partnership with the survivors of conflict and disaster to help them take back control of their lives.
 Arthritis Foundation, New York Chapter 	www.arthritis.org	 The mission of the Arthritis Foundation is to improve lives through leadership in the prevention, control and cure of arthritis and related diseases. 
 Arthritis Foundation, New York, Northeastern NY Chapter 	www.arthritis.org	 The organization provides funding for arthritis research, distributes educational literature, conducts arthritis seminars and service programs and sends children with arthritis to summer camp. 
 Arthritis Foundation, New York, Upstate NY Chapter, Buffalo Branch 	www.arthritis.org	 Dedicated to funding research to find the cure for arthritis and to providing educational, informational, exercise and support programs for those affected by this disease. 
 Arthritis Foundation, New York, Upstate NY Chapter, Rochester Branch 	www.arthritis.org	 Dedicated to funding research to find the cure for arthritis and to providing educational, informational, exercise and support programs for those affected by this disease. 
 Arthritis Foundation, New York, Upstate NY Chapter, Syracuse Office 	www.arthritis.org	 Dedicated to funding research to find the cure for arthritis and to providing educational, informational, exercise and support programs to those affected by this disease. 
 Autism Speaks, New York 	www.autismspeaks.org	 We fund biomedical research into the causes, prevention, treatments and cure for autism spectrum disorders; increase awareness; and advocate for the needs of affected families. 
 Breast Cancer Network of Strength, New York 	www.networkofstrength.org/	Provides information and support to anyone touched by breast cancer through it's 24/7 Hotline staffed by breast cancer survivors and interpreters in 150 languages.
 Breast Cancer Research Foundation, New York 	www.bcrfcure.org	 Make a difference.  Breast cancer claims over 40,000 lives annually.  Your support funds lifesaving breast cancer research worldwide:  Prevention and a cure in our lifetime. 
 Bronx AIDS Services, Inc. 	http://www.basnyc.org/	 Founded in 1986, Bronx AIDS Services (BAS) is a not-for-profit community-based organization  that helps more than 8,000 Bronx residents each year with services and programs that touch people who are living with HIV/AIDS, people who think they might have been exposed to HIV, and those who are at high risk of exposure to the virus.  
 Cancer Research Institute, New York 	www.cancerresearch.org	 To support and coordinate scientific and clinical efforts that will lead to the immunological treatment, control and prevention of cancer. 
 CaringBridge, New York 	www.caringbridge.org	 Free personalized web sites allowing families and friends to stay in touch and share information, love and support during a serious medical condition, treatment and recovery. 
Center for Disability Services - New York	www.cfdsny.org	 Provides Educational, Vocational, Residential, Respite, Transportation and Medical programs and services to 15,000 individuals with disabilities in Northeastern New York.
 
Central New York Asthma Coalition	www.alanys.org	 The mission is the prevention of lung disease and the promotion of lung health.  Our goals are accomplished through research, advocacy and education efforts.
 
 Children's Brain Tumor Foundation, Inc. 	http://www.cbtf.org/	 Children's Brain Tumor Foundation, a non-profit organization, was founded in 1988 by dedicated parents, physicians and friends. Our mission is to improve the treatment, quality of life and the long term outlook for children with brain and spinal cord tumors through research, support, education, and advocacy to families and survivors. 
Children's Cord Blood Bank & Research Foundation	http://www.childrenscordblood.org/	 We are dedicated to increasing public awareness and education about the benefits of preserving umbilical cord  blood stem cells. Our Mission is to advance access to life-saving medical therapies, research and cutting-edge treatment modalities in the community by providing umbilical cord blood stem cell services for safe, high quality transfusion products. 
 Children's Heart Foundation, New York Chapter 	www.childrensheartfoundation.org	 Funds the most promising research to advance the diagnosis, treatment and prevention of congenital heart defects, the world's most prevalent and deadly birth defect. 
 Children's Tumor Foundation, New York 	www.ctf.org	 Funds research, patient support and public awareness of Neurofibromatosis (NF1, NF2 and Schwannomatosis) - genetic disorders that cause random tumor growth throughout the body. 
 City of Hope, New York 	www.cityofhope.org	 City of Hope, an innovative biomedical, research, treatment and educational institute, dedicated to the prevention and cure of cancer and other life-threatening diseases. 
Colon Cancer Alliance - New York	www.ccalliance.org	 Dedicated to ending the suffering of those affected by colorectal cancer through screening rates and survivorship; education, support, research, advocacy. 
 Community Health Charities of New York, Metro NY Office 	www.healthcharitiesny.org	 A group of over 50 national & local health charities dedicated to research, patient services & health education for various diseases and disorders. 
 Community Health Charities of New York, NENY Office 	www.healthcharitiesny.org	 A group of over 50 national & local health charities dedicated to research, patient services & health education for various diseases and disorders. 
 Community Health Charities of New York, State Office 	www.healthcharities.org/newyork	 A group of over 50 national & local health charities dedicated to research, patient services & health education for various diseases, disabilities and disorders. 
 Cooley's Anemia Foundation, New York 	www.cooleysanemia.org	 Funds research to cure this fatal blood disease, supports programs to enhance the life quality of patients, educates doctors, trait carriers and the public.  
 Crohn's & Colitis Foundation of America, New York 	www.ccfa.org	 Devotes contributions to scientific research, support services and education to benefit residents who suffer from Crohn's disease and ulcerative colitis. 
 Crohn's & Colitis Foundation of America, New York, Fairfield/Westchester Chapter 	www.ccfa.org/chapters/westfield	 Raises money to support scientific research, education and supportive services to benefit New York residents afflicted with Crohn's disease and ulcerative colitis. 
 Crohn's & Colitis Foundation of America, New York, Long Island Chapter 	www.ccfa.org	 Devotes contributions to scientific research, support services, patient and professional education to benefit Long Island residents who suffer with Crohn's disease or colitis. 
 Crohn's & Colitis Foundation of America, New York, Rochester Chapter 	www.ccfa.org/chapters/rochester	 Dedicated to ending the suffering caused by Crohn's disease and ulcerative colitis.  CCFA Sponsors research, education programs and support services for patients and professionals. 
 Crohn's & Colitis Foundation of America, New York, Upstate NENY Chapter 	www.ccfa.org/chapters/upstateny	 Provides educational programs, support services and free literature to individuals touched by Crohn's disease and ulcerative colitis. 
 Crohn's & Colitis Foundation of America, New York, Western NY Chapter 	www.ccfawny.org/chapters/westernny	Our mission is to cure Crohn's disease and ulcerative colitis and to improve the quality of life of children and adults affected by these diseases.
 Cystic Fibrosis Foundation, New York, Central NY Chapter 	www.cff.org	Supports innovative research to control and cure cystic fibrosis.  Provides specialized medical care through a nationwide network of centers;  offers pharmacy and other patient services.
 Cystic Fibrosis Foundation, New York, Long Island Branch 	www.cff.org	Supports innovative research to control and cure Cystic Fibrosis.  Provides specialized medical care through a nationwide network of centers; offers pharmacy and other patient services. 
 Cystic Fibrosis Foundation, New York, Manhattan Branch 	www.cff.org	Supports innovative research to control and cure Cystic Fibrosis.  Provides specialized medical care through a nationwide network of centers; offers pharmacy and other patient services. 
 Cystic Fibrosis Foundation, New York, Northeast NY Chapter 	www.cff.org/chapters/nenewyork	Supports innovative research to control and cure cystic fibrosis.  Provides specialized medical care through a nationwide network of centers; offers pharmacy and other patient services.
 Cystic Fibrosis Foundation, New York, Rochester Chapter 	www.cff.org	Supports innovative research to control and cure Cystic Fibrosis.  Provides specialized medical care through a nationwide network of centers; offers pharmacy and other patient services. 
 Cystic Fibrosis Foundation, New York, Westchester Branch 	www.cff.org/chapters/westchester	Supports innovative research to control and cure Cystic Fibrosis.  Provides specialized medical care through a nationwide network of centers; offers pharmacy and other patient services. 
 Cystic Fibrosis Foundation, New York, Western NY Chapter 	www.cff.org	Supports innovative research to control and cure cystic fibrosis.  Provides specialized medical care through a nationwide network of centers; offers pharmacy and other patient services.
 Depression and Bipolar Support Alliance, New York 	www.dbsalliance.org	 Nation's leading patient-run, illness-specific, mental health organization.  Provides over 1,000 support groups, free educational materials, interactive website, national conference, newsletter, advocacy, and more.  
 Diabetes Research Institute Foundation, New York 	www.diabetesresearch.org	Committed to curing children and adults now living with diabetes and leads the world in bringing promising treatments to patients as fast as possible.
 Diabetes Research Institute Foundation, New York, Northeast Regional Office 	www.diabetesresearch.org	Committed to curing children and adults now living with diabetes and leads the world in bringing promising treatments to patients as fast as possible.
Doctors Without Borders/Medecins Sans Frontieres	www.doctorswithoutborders.org	 An independent international medical humanitarian organization that delivers emergency aid to people affected by armed conflict, epidemics and natural disasters in more than 60 countries. 
 East End Hospice, Inc. - New York 	www.eeh.org	 Healthcare professionals provide care to terminally ill patients in their homes offering pain and symptom control; social, emotional and spiritual support for patients and families. 
 Easter Seals, New York 	www.eastersealsny.org	 Non-profit organization providing medical, mental health and social services to children and adults with disabilities and special needs. 
 Easter Seals, New York, Albany 	www.eastersealsny.org	Easter Seals is the nationwide leading provider of rehabilitation services to children and adults with disabilities as well as support to their families. 
 Endometriosis Association, New York 	www.endometriosisassn.org	 Is a disease-related, private, non-profit support organization with 24% of its total support revenue used for administration and fundraising purposes. 
 EngenderHealth, Inc. 	www.engenderhealth.org	EngenderHealth is the leading international reproductive health organization working to improve the quality of health care in the world?s poorest countries.
 Epilepsy Foundation of New York, Northeastern NY 	www.epilepsyfoundation.org/efneny	 Provides service coordination, counseling, information and referral, public education, school education and professional in-services throughout the Capital Region, North Country and Upper Hudson Valley. 
 Epilepsy Foundation of New York, Rochester,   Syracuse   and Binghamton 	www.epilepsy-uny.org	 We provide epilepsy education, community and family supports, residential services and traumatic brain injury services to children and adults with epilepsy and related disabilities. 
 Epilepsy Foundation of New York, Rochester, Syracuse and   Binghamton   	www.epilepsy-uny.org	 Removes the stigma of epilepsy and help people with epilepsy and related disabilities reach their full potential by providing education, case management and supportive services.
 
Epilepsy Institute - New York	www.epilepsyinstitute.org/	 Provides comprehensive social services and fill in the gaps in the service delivery system to persons with epilepsy, their families and the community who reside in NYC. 
 Epilepsy Society of Southern New York Inc., Rockland County 	www.essny.com	 Within seven counties of NYS, services include: education, case management, crisis intervention, competitive supportive employment, residential habilitation, independent living skills, training, information, referral, support groups. 
 Epilepsy Society of Southern New York, Inc., Westchester County 	www.essny.com	 Within seven counties of NYS, services include: education, case management, crisis intervention, competitive supportive employment, residential habilitation, independent living skills, training, information, referral, support groups. 
Episcopal Relief & Development	www.er-d.org	 Episcopal Relief & Development is the international humanitarian agency of the U.S. Episcopal Church.  It creates lasting solutions in response to disaster, poverty and disease. 
 Friends of Oswego County Hospice, Inc., AKA Oswego County Hospice - New York 	www.friendsofhospice.org	 Provide financial support to Oswego County Hospice program, patients and families.  Provide PR support to Hospice program. 
Gay Men's Health Crisis	http://www.gmhc.org/	 GMHC is the world's first and leading provider of HIV/AIDS prevention, care and advocacy. Building on decades of dedication and expertise, we understand the reality of HIV/AIDS and empower a healthy life for all. 
Good Shepherd Hospice/GSt Charles Hospice - New York	www.goodshepherdhospice.net	 Provides end-of-life hospice care through physical, spiritual, psychosocial and palliative comfort care for the terminally ill.  Bereavement counseling is available. 
Harlem Hospital Sickle Cell Center - New York	0	 The CSCC provides comprehensive clinical services, education and research in Sickle Cell Disease to the patients of Harlem Hospital Center and the community it serves. 
 Health Volunteers Overseas, Inc. 	www.hvousa.org	 Trains, mentors and provides critical professional support to more than 2600 healthcare providers who care for the neediest populations in over 25 countries. 
Heartspring - New York	www.heartspring.org	A worldwide center for children with special needs.
Helen Keller International	www.hki.org	Saves the sight and lives of the most vulnerable and disadvantaged; combats the causes and consequences of blindness and malnutrition.
 High Peaks Hospice, Inc., Saranac Lake Office 	www.highpeakshospice.com	 Offers compassionate, community based physical, emotional, spiritual and bereavement care with dignity for the terminally ill.  Because quality of life matters.  24/7 on-call support. 
 High Peaks Hospice, Warren County 	www.highpeakshospice.com	 Offers compassionate, community based physical, emotional, bereavement care with dignity for the terminally ill in Northeastern NY.  Quality of life matters.  24/7 on-call support. 
 Hospicare & Palliative Care Services of Tompkins County, Inc. 	www.hospicare.org	 Hospicare provides comprehensive care - medical, palliative, dietary, bereavement, spiritual and psychological - to terminally-ill people and their families in patient homes and its on-site residence. 
Hospice and Palliative Care Assoc NYS	www.hpcanys.org	 Provides hospice information and referral to patients, families and social agencies.  Sponsors end-of-life educational programs on clinical, psychological and bereavement issues. 
Hospice and Palliative Care of Westchester	www.hospiceofwestchester.com	 Provides extraordinary and dignified comfort, care and compassion to every individual and family facing a serious or life threatening illness. 
Hospice Care Network	www.hospicecarenetwork.org	 Serving individuals whose medical prognosis indicates a life span of six months or less and accepts all medically qualified patients regardless of ability to pay.
 
Hospice Inc.	www.hospiceinc.org	Provides high quality end-of-life care to individuals in Dutchess and Ulster counties and support services to their families and loved ones.
Hospice of Central New York	www.hospicecny.org	 Hospice care supports the medical, physical, emotional, social and spiritual well-being of individuals with a life expectancy of 6 months or less. 
 Huntington's Disease Society of America, New York 	www.hdsa.org	Promotes and supports research to find a cure for HD; helps those affected by HD and their families; educates the public and health professionals. 
 Huntington's Disease Society of America, New York, Upstate NY Chapter 	www.hdsauny.com	 HDSA Upstate NY Chapter promotes and supports research, assists families affected by Huntington's Disease with support and information, and educates the public and professionals about HD. 
International Eye Foundation	www.iefusa.org	 Saves sight worldwide. Programs to control vitamin A deficiency,   river blindness,   trachoma and cataracts. Provides local health worker training, technology transfer, eye surgery, equipment, medicine. 
International Medical Corps	www.imcworldwide.org	Global humanitarian organization saving lives and building self-reliance by providing vital medical care for women and children; training healthcare professionals; rebuilding clinics; improving water/sanitation.
 Jacob Perlow Hospice, AKA Continuum Hospice Care - New York 	www.hospicenyc.org	Hospice provides comprehensive home and inpatient care for persons with advanced illness who want care focused on quality of life and maximum level of comfort.
 Juvenile Diabetes Research Foundation International, New York 	www.jdrf.org	 World's largest non-profit, non-governmental funder of diabetes research ($600,000,000 since 1970). Mission: Find a cure for diabetes and its complications through the support of research.  
 Juvenile Diabetes Research Foundation International, New York, Central NY Chapter 	www.jdrf.org/centralnewyork	 Help us find a cure for diabetes.  Through research, we can save lives of children and adults who suffer from diabetes and its devastating complications. 
 Juvenile Diabetes Research Foundation International, New York, Hudson Valley Branch 	www.jdrf.org	 Help us find a cure for diabetes.  Through research, we can save lives of children and adults who suffer from diabetes and its devastating complications. 
 Juvenile Diabetes Research Foundation International, New York, Long Island Chapter 	www.jdrf.org/longisland	 Help us find a cure for diabetes.  Through research, we can save lives of children and adults who suffer from diabetes and its devastating complications. 
 Juvenile Diabetes Research Foundation International, New York, NENY Chapter, Capital Region Branch 	www.jdrf.org/northeasternny	 Help us find a cure for diabetes.  Through research, we can save lives of children and adults who suffer from diabetes and its devastating complications. 
 Juvenile Diabetes Research Foundation International, New York, NENY Chapter, Greater Adirondack Region 	www.jdrf.org/northeasternny	 Help us find a cure for diabetes.  Through research, we can save lives of children and adults who suffer from diabetes and its devastating complications. 
 Juvenile Diabetes Research Foundation International, New York, New York City Chapter 	www.jdrf.org/nyc	 Help us find a cure for diabetes.  Through research, we can save lives of children and adults who suffer from diabetes and its devastating complications. 
 Juvenile Diabetes Research Foundation International, New York, No New Jersey/Rockland County Chapter 	www.jdrf.org/northernnj	 Help us find a cure for diabetes.  Through research, we can save lives of children and adults who suffer from diabetes and its devastating complications. 
 Juvenile Diabetes Research Foundation International, New York, Rochester Chapter 	www.jdrf.org/rochester	 Help us find a cure for diabetes.  Through research, we can save lives of children and adults who suffer from diabetes and its devastating complications. 
 Juvenile Diabetes Research Foundation International, New York, Westchester County Chapter 	www.jdrf.org/westchester	 Help us find a cure for diabetes.  Through research, we can save lives of children and adults who suffer from diabetes and its devastating complications. 
 Juvenile Diabetes Research Foundation International, New York, Western NY Chapter 	www.jdrf.org/westernny	 Help us find a cure for diabetes.  Through research, we can save lives of children and adults who suffer from diabetes and its devastating complications. 
Krystal's Wish Foundation for SIDS - New York	0	Provides support and information to families and caregivers whose children have died of SIDS and still births; educates professionals / public about the risk factors; and raises funds for research.
 Leukemia & Lymphoma Society, New York, Central NY Chapter 	www.lls.org/cny	 Our mission is to cure leukemia, lymphoma, Hodgkin's disease and myeloma and improve the quality of life of patients and their families.
 
 Leukemia & Lymphoma Society, New York, Long Island Chapter 	www.lls.org/li	 The largest national voluntary health agency dedicated to curing leukemia, lymphoma, Hodgkin's disease and myeloma and improving quality of life of patients and their families. 
 Leukemia & Lymphoma Society, New York, New York City Chapter 	www.lls.org/nyc	 We are the world's largest health organization dedicated to funding blood cancer research, education and patient services. 
 Leukemia & Lymphoma Society, New York, Upstate NY/Vermont Chapter 	www.lls.org/unyvt	 World's largest, private organization dedicated to finding cures for leukemia, lymphoma, Hodgkin's disease and myeloma to improve the quality of life of patients/their families. 
 Leukemia & Lymphoma Society, New York, Westchester/Hudson Valley Chapter 	www.lls.org/wch	 We are the world's largest voluntary health organization dedicated to funding blood cancer research, education and patient services.
 
 Leukemia & Lymphoma Society, New York, Western NY Chapter 	www.lls.org	 Our mission:  Cure leukemia, lymphoma, Hodgkin's disease and myeloma and improve the quality of life of patients and their families. 
 Life Transitions Center Inc, AKA Western NY Center for SIDS 	www.lifetransitionscenter.com	Provides comprehensive professional support to families whose infant died suddenly and unexpectedly of any cause.
 Lupus Alliance of America, New York, Hudson Valley NY Affiliate 	www.lupushudsonvalley.org	We are dedicated to serving patients through programs such as support meetings as well as broadening awareness and educating the community about this serious disease.
 Lupus Alliance of America, New York, Long Island/Queens Affiliate 	www.lupusliqueens.org	 Providing services to people and families affected by Lupus with support, information, referral, crisis intervention, Spanish information, education, limited financial aid and Funding Lupus research. 
 Lupus Alliance of America, New York, Southern Tier Affiliate 	www.lupusupstateny.org	Our goal is to provide programs that empower those living with lupus to maximize their quality of life and support research to discover the cure.
 Lupus Alliance of America, New York, Upstate NY Affiliate 	www.lupusupstateny.org	 Patient-oriented organization helping those affected by lupus and their families by providing information, referral, education, crisis intervention and support for lupus research. 
 Lupus Alliance of America, New York, Upstate NY Affiliate, CNY Branch 	www.lupusupstateny.org	 Patient-oriented organization helping those affected by lupus and their families by providing information, referral, education, crisis intervention and support for lupus research. 
 Lupus Alliance of America, New York, Upstate NY Affiliate, NENY Branch 	www.lupusupstateny.org	 Patient-oriented organization helping those affected by lupus and their families by providing information, referral, education, crisis intervention and support for lupus research. 
 Lupus Foundation of America, New York, Genesee Valley Chapter 	www.lupusgvc.org	 We are a community resource providing information, education and support to those affected by Lupus through newsletters, phone support, referrals, funding research and educational presentations. 
 Lupus Foundation of America, New York, Mid & Northern New York 	www.nolupus.org	 Provides health & human services including education, support and advocacy programs, promotes lupus awareness and supports research to find better treatments and a cure. 
Lupus Research Institute - New York	www.lupusresearchinstitute.org	Uniquely dedicated to innovative research and funds the largest number and widest range of lupus investigations in the country.
 Lymphatic Research Foundation - New York, Glen Cove 	www.lymphaticresearch.org	 Promote and support research of the lymphatic system to find treatments and cures for lymphatic diseases including lymphedema, also benefiting cancer, HIV, lupus, arthritis, etc. 
 Lymphatic Research Foundation - New York, White Plains 	www.lymphaticresearch.org	 Promote and support research of the lymphatic system to find treatments and cures for lymphatic diseases including lymphedema, also benefiting cancer, HIV, lupus, arthritis, etc. 
 March of Dimes Foundation, New York Division 	www.marchofdimes.com/greaternewyork	 The mission of the March of dimes is to improve the health of babies by preventing birth defects, premature birth and infant mortality. 
 March of Dimes Foundation, New York, Central NY Division 	www.marchofdimes.com	 The mission of the March of dimes is to improve the health of babies by preventing birth defects, premature birth and infant mortality. 
 March of Dimes Foundation, New York, Genesee Valley/Finger Lakes 	www.marchofdimes.com	 The March of Dimes aims to improve the health of babies by providing community services, education, and advocacy for moms and babies. 
 March of Dimes Foundation, New York, Hudson Valley Office 	www.marchofdimes.com/greaternewyork	 The mission of the March of dimes is to eliminate birth defects and infant mortality through programs of community Advocacy, Community Service, Research and Education. 
 March of Dimes Foundation, New York, Long Island Division 	www.marchofdimes.com/greaternewyork	 The mission of the March of dimes is to improve the health of babies by preventing birth defects, premature birth and infant mortality.
 
 March of Dimes Foundation, New York, NENY Division 	www.marchofdimes.com	 The mission of the March of dimes is to improve the health of babies by preventing birth defects, premature birth and infant mortality. 
 March of Dimes Foundation, New York, Westchester/Rockland Division 	www.marchofdimes.com/greaternewyork	 The mission of the March of dimes is to improve the health of babies by preventing birth defects, premature birth and infant mortality. 
 March of Dimes Foundation, New York, WNY Division 	www.marchofdimes.com	 The mission of the March of dimes is to improve the health of babies by preventing birth defects, premature birth and infant mortality. 
Mental Health America of New York	www.mhanys.org	 State leader in advocacy, public education, technical assistance on behalf of New Yorkers with psychiatric disabilities, supporting 30 local affiliates.  Affiliated with Mental Health America. 
 Mental Health America of New York (Dutchess, Putnam & Westchester) 	www.mhanys.org	 A multi-service agency providing treatment and support; social, housing and vocational supports; senior services; domestic abuse services; community education; advocacy; and information and referral 
 Muscular Dystrophy Association, New York 	www.mdausa.org	 Fighting neuromuscular diseases through worldwide research, a nationwide network of clinics offering comprehensive medical services and far reaching professional and public health education. 
 Muscular Dystrophy Association, New York, Central and Northern NY 	www.mdausa.org	 Fighting neuromuscular diseases through worldwide research, a nationwide network of clinics offering comprehensive medical services, and far-reaching professional and public health education.  
 Muscular Dystrophy Association, New York, Eastern NY, Albany District Office 	www.mdausa.org	 Fighting neuromuscular diseases through worldwide research, a nationwide network of clinics offering comprehensive medical services, and far-reaching professional and public health education.  
 Muscular Dystrophy Association, New York, Grt Rochester and Finger Lakes Area 	www.mda.org	 Fighting neuromuscular diseases through worldwide research, a nationwide network of clinics offering comprehensive medical services, and far-reaching professional and public health education.  
 Muscular Dystrophy Association, New York, Hawthorne Area 	www.mda.org	 Fighting neuromuscular diseases through worldwide research, a nationwide network of clinics offering comprehensive medical services, and far-reaching professional and public health education.  
 Muscular Dystrophy Association, New York, Lake Success Area 	www.mda.org	 Fighting neuromuscular diseases through worldwide research, a nationwide network of clinics offering comprehensive medical services, and far-reaching professional and public health education.  
 Muscular Dystrophy Association, New York, South Central NY 	www.mdausa.org	Coordinates services offered to families affected by over 40 forms of neuromuscular diseases in eleven counties in SCNY.
